Player
Emily Clark
Meaghan Mikkelson
Sarah Nurse
Lyudmila Belyakova
Maria Batalova
Olga Sosina
Valeria Pavlova
Laura Stacey
Marie-Philip Poulin
Renata Fast
Melodie Daoust
Yelena Dergachyova
Anna Shokhina
Meghan Agosta
Yekaterina Nikolayeva
Brigette Lacquette
Angelina Goncharenko
Liana Ganeyeva
Haley Irwin
Rebecca Johnston
Laura Fortino
Brianne Jenner
Yevgenia Dyupina
Yekaterina Smolina
Natalie Spooner
Nadezhda Morozova
Ann-Renee Desbiens
Jocelyne Larocque
Fanuza Kadirova
Bailey Bram
Lauriane Rougeau
Nina Pirogova
Jillian Saulnier
Yekaterina Lovova
Jennifer Wakefield
Alevtina Shtaryova
Blayre Turnbull
Nadezhda Alexandrova
Alyona Starovoitova
Diana Kanayeva
Svetlana Tkachyova
Isa Rahunen
Minnamari Tuominen
Venla Hovi
Ronja Savolainen
Rosa Lindstedt
Linda Valimaki
Jenni Hiirikoski
Annina Rajahuhta
Sanni Hakala
Emma Nuutinen
Noora Tulus
Tanja Niskanen
Mira Jalosuo
Susanna Tapani
Riikka Sallinen
Michelle Karvinen
Shannon Szabados
Petra Nieminen
Noora Raty
Sara Sakkinen
Saila Saari
Dani Cameranesi
Brianna Decker
Megan Keller
Emily Pfalzer
Kendall Coyne Schofield
Hannah Brandt
Kali Flanagan
Kelly Pannek
Sidney Morin
Lee Stecklein
Monique Lamoureux
Meghan Duggan
Amanda Pelkey
Gigi Marvin
Cayla Barnes
Maddie Rooney
Kacey Bellamy
Hilary Knight
Amanda Kessel
Jocelyne Lamoureux
Haley Skarupa
Genevieve Lacasse
Viktoria Kulishova
Valeria Tarakanova
Yekaterina Likhachyova
Kayla Nielsen
Justine Reyes
Ella Shelton
Skylar Podvey
Cassidy Vinkle
Taylar Cianfarano
Taylor Turnquist
Rachael Smith
Kelly Mariani
Kalie Grant
Loren Gabel
Kassidy Sauve
Jacquie Diffley
Nadine Edney
Maggie McLaughlin
Steph Keryluk
Josiane Pozzebon
Michala Pejzlova
Elizabeth Giguere
Taylor Sawka
Emma Keenan
Lydia Grauer
Morgan Helgeson
Kristy Pidgeon
Amanda Butterfield
Avery Mitchell
Charlea Pedersen
Tia Stoddard
Jessica Poirier
Claire Dudley
Kristen Guerriero
Grace Harrison
Natalie Wozney
Sonjia Shelly
Stephanie Voge
Brittany Howard
Alex Cavalini
Megan Bozek
Rebecca Leslie
Erin Ambrose
Halli Krzyzaniak
Savannah Harmon
Hayley Scamurra
Jamie Lee Rattray
Emerance Maschmeyer
Dana Trivigno
Alex Carpenter
Zoe Hickel
Shelly Picard
Ann-Sophie Bettez
Victoria Bach
Kaitlin Burt
Katelyn Gosling
Annie Pankowski
Jesse Compher
Mich Zandee-Hart
Melissa Samoskevich
Jamie Bourbonnais
Sydney Brodt
Nelli Laitinen
Elisa Holopainen
Viivi Vainikka
Ella Viitasuo
