Player,Team,Home Team,Away Team,Date
Avery Mitchell,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Avery Mitchell,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Cassidy Vinkle,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Cassidy Vinkle,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Elizabeth Giguere,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Elizabeth Giguere,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Ella Shelton,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Ella Shelton,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Emma Keenan,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Emma Keenan,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Josiane Pozzebon,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Josiane Pozzebon,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Kassidy Sauve,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Kassidy Sauve,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Kelly Mariani,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Kelly Mariani,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Kristy Pidgeon,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Kristy Pidgeon,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Loren Gabel,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Loren Gabel,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Michala Pejzlova,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Michala Pejzlova,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Morgan Helgeson,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Morgan Helgeson,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Taylar Cianfarano,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Taylar Cianfarano,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Taylor Sawka,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Taylor Sawka,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Taylor Turnquist,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Taylor Turnquist,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Tia Stoddard,Clarkson Golden Knights,St. Lawrence Saints,Clarkson Golden Knights,
Tia Stoddard,Clarkson Golden Knights,Clarkson Golden Knights,St. Lawrence Saints,
Ann-Renee Desbiens,Olympic (Women) - Canada,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,
Ann-Sophie Bettez,Olympic (Women) - Canada,Olympic (Women) - Canada,Olympic (Women) - United States,
Ann-Sophie Bettez,Olympic (Women) - Canada,Olympic (Women) - United States,Olympic (Women) - Canada,
Ann-Sophie Bettez,Olympic (Women) - Canada,Olympic (Women) - Finland,Olympic (Women) - Canada,
Bailey Bram,Olympic (Women) - Canada,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,
Bailey Bram,Olympic (Women) - Canada,Olympic (Women) - United States,Olympic (Women) - Canada,
Bailey Bram,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,
Blayre Turnbull,Olympic (Women) - Canada,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,
Blayre Turnbull,Olympic (Women) - Canada,Olympic (Women) - Canada,Olympic (Women) - Finland,
Blayre Turnbull,Olympic (Women) - Canada,Olympic (Women) - United States,Olympic (Women) - Canada,
